field_1,centroid_y,centroid_x,Elevation,Depth_avg,Lake_area,Continent
936,-20.08388889,-48.18478912,493,12.2,178.4,South America
938,-20.08290973,-48.53557995,467,11.8,129.23,South America
940,-20.31071671,-49.16746447,441,17.6,348.81,South America
942,-20.86709127,-50.78534473,321,22.7,591.71,South America
943,-21.00762651,-46.0076214,761,24.7,928.08,South America
944,-20.58102027,-51.51984495,278,12.7,289.24,South America
946,-21.45871691,-49.49714356,379,14.5,511.18,South America
947,-22.03263129,-41.38667554,0,1.8,161.56,South America
950,-22.80145983,-50.89289079,324,25.9,407.17,South America
952,-23.33536445,-49.63375781,471,25.8,341.19,South America
962,-29.48699612,-49.90517865,1,5.7,116.79,South America
963,-29.70339952,-50.07979749,1,7.6,117.78,South America
964,-30.92392897,-57.86197938,32,10.3,533.46,South America
965,-32.09244724,-60.87188363,5,2.1,118.92,South America
966,-32.75454007,-56.33641687,73,12.2,718.48,South America
968,-33.14645589,-52.79907164,0,2.6,763.41,South America
969,-34.0376846,-53.68349037,4,5.3,166.03,South America
972,-35.99711412,-62.4531956,80,2.0,142.45,South America
973,-36.98343248,-62.51309806,103,3.2,137.55,South America
974,-37.13236111,-62.887103,96,3.9,149.74,South America
977,-38.21376099,-67.24079766,279,16.8,238.12,South America
978,-38.55183309,-68.80949729,414,7.0,395.81,South America
979,-38.60165595,-68.56564496,414,8.4,163.9,South America
984,-39.7578106,-71.33888417,894,76.2,105.09,South America
989,-40.83254083,-72.47046791,123,92.3,231.32,South America
990,-40.92017388,-71.52098531,769,156.1,528.44,South America
991,-41.1374903,-72.29372695,190,143.6,173.59,South America
992,-41.14358236,-72.80608564,53,184.1,861.27,South America
993,-43.30025838,-72.29575919,42,127.6,116.18,South America
994,-43.92537462,-71.54843321,927,83.0,139.04,South America
996,-45.46141678,-68.71804685,253,2.6,623.21,South America
999,-47.30444444,-71.97228938,152,101.8,298.95,South America
1001,-48.91808051,-71.22952043,285,18.2,349.05,South America
1003,-51.21255242,-72.71268722,24,61.6,189.63,South America
1005,-54.06898749,-69.04126023,120,44.4,144.31,South America
1006,-54.55626709,-67.69077403,28,69.9,586.39,South America
1024,69.50625,69.12500009,11,4.5,108.1,Europe
1026,69.45311347,160.2853714,7,5.7,125.4,Europe
1027,69.27083333,160.1552061,11,9.2,256.44,Europe
1036,68.375,30.82395885,66,19.7,585.33,Europe
1042,68.19375,155.0081669,12,9.2,140.36,Europe
1049,67.961951,27.52406003,228,4.5,321.87,Europe
1057,67.2210115,19.20811831,355,2.8,220.73,Europe
1060,66.68217163,32.22201685,28,18.1,636.71,Europe
1066,66.27799615,31.87513127,102,10.6,212.41,Europe
1071,66.1,30.96614459,93,19.3,865.63,Europe
1072,65.97246825,17.85164744,402,16.2,247.51,Europe
1080,65.62723796,32.18358957,98,16.0,973.0,Europe
1085,65.02083333,31.60142752,92,17.0,445.86,Europe
1089,64.33625975,27.24230909,106,7.0,889.77,Europe
1098,63.8810655,12.99337864,406,11.5,102.34,Europe
1101,63.60320638,125.1375884,91,10.9,118.87,Europe
1103,63.325,33.66568716,104,30.1,778.69,Europe
1104,63.080378,14.40583369,279,38.3,488.65,Europe
1105,63.1565095,23.72044812,54,17.0,144.44,Europe
1110,63.17265475,26.58902102,85,17.9,285.78,Europe
1111,62.869664,29.74883704,66,28.9,283.48,Europe
1112,62.93382475,30.72366824,128,18.4,182.25,Europe
1113,63.1973805,29.68654939,79,9.9,937.09,Europe
1117,62.8552645,25.98838405,86,5.4,640.85,Europe
1118,62.59270833,33.78645813,46,36.4,101.38,Europe
1121,62.31894463,36.89380009,128,13.8,353.71,Europe
1126,62.09754625,24.12835621,92,32.4,177.09,Europe
1129,62.01145833,30.95416621,62,26.9,194.32,Europe
1133,61.78625775,26.62099324,76,29.0,393.09,Europe
1135,61.7332255,23.79023255,90,29.7,303.61,Europe
1136,61.32708333,38.74854466,104,4.6,300.19,Europe
1138,61.2861995,26.79141077,57,31.3,168.62,Europe
1140,61.2039875,23.9100096,68,12.2,161.56,Europe
1141,61.34957725,24.13079433,79,10.9,115.72,Europe
1146,61.001543,22.29707964,26,20.7,153.02,Europe
1149,60.57313029,39.10183859,107,5.2,388.23,Europe
1150,60.8609275,14.76766807,144,25.9,290.88,Europe
1156,59.65884688,39.42197205,109,6.7,427.83,Europe
1157,59.69069417,65.70105223,38,8.5,429.31,Europe
1158,59.26019636,28.1720117,24,6.0,106.88,Europe
1160,59.231155,15.83482354,24,17.0,474.39,Europe
1163,58.27319716,31.30041423,16,12.5,959.75,Europe
1164,58.25201782,26.05195179,33,7.6,259.79,Europe
1166,57.53501004,70.46095989,59,4.0,190.09,Europe
1169,57.16361111,55.00621769,84,11.2,841.72,Europe
1170,56.9201155,13.66583214,141,15.4,172.52,Europe
1172,56.1261084,71.93085687,93,3.3,251.68,Europe
1174,55.98021227,8.211928827,-2,3.5,278.06,Europe
1177,55.397602,60.3939961,269,19.5,104.0,Europe
1179,54.98043958,78.5976824,103,3.4,226.52,Europe
1180,54.6202859,-6.406252007,10,7.8,374.73,Europe
1182,54.56979379,77.95942224,101,2.2,204.03,Europe
1186,53.75471951,21.71924897,112,15.6,120.06,Europe
1187,53.39957804,12.73098823,59,8.5,107.94,Europe
1190,53.45602445,140.0800159,0,13.5,139.76,Europe
1191,53.45764262,139.7147215,0,11.4,305.85,Europe
1193,53.42137939,-9.180505236,5,8.6,159.93,Europe
1195,52.9802752,79.56856856,94,2.8,672.26,Europe
1196,52.72122464,64.83630475,100,3.4,389.49,Asia
1199,52.92260023,-8.353040459,29,15.4,113.87,Europe
1201,52.62236111,111.4891865,944,8.6,102.83,Europe
